feature,mean_importance,std_importance,mean_rank
f655,0.000650,0.000086,308.00
f656,0.000135,0.000076,629.67
f657,0.000744,0.000434,333.00
f658,0.000177,0.000077,593.00
f659,0.000169,0.000071,601.33
f660,0.000244,0.000105,542.67
f661,0.000611,0.000154,329.67
f662,0.000784,0.000334,294.33
f663,0.000607,0.000202,339.67
f664,0.000297,0.000208,515.67
f665,0.000301,0.000085,504.67
f666,0.000346,0.000040,469.00
f667,0.000270,0.000050,518.33
f668,0.000231,0.000119,550.67
f669,0.000346,0.000034,469.00
f670,0.000303,0.000151,505.33
f671,0.000447,0.000143,408.33
f672,0.000365,0.000090,458.00
f673,0.000459,0.000125,400.67
f674,0.000322,0.000227,507.00
f675,0.001352,0.000039,163.67
f676,0.000839,0.000121,249.67
f677,0.000451,0.000282,433.00
f678,0.000496,0.000182,390.33
f679,0.000299,0.000168,509.67
f680,0.000230,0.000207,563.33
f681,0.000207,0.000181,573.67
f682,0.000180,0.000118,600.00
f683,0.000171,0.000051,596.00
f684,0.001176,0.000295,196.67
f685,0.000449,0.000081,402.67
f686,0.000303,0.000117,499.00
f687,0.000247,0.000182,537.00
f688,0.000224,0.000213,574.00
f689,0.000443,0.000091,414.00
f690,0.000219,0.000118,556.67
f691,0.000530,0.000160,368.00
f692,0.000086,0.000055,667.33
f693,0.001341,0.000181,165.67
f694,0.000228,0.000110,559.00
f695,0.000283,0.000021,510.33
f696,0.000854,0.000253,258.67
f697,0.000171,0.000067,598.33
f698,0.000263,0.000059,528.00
f699,0.000041,0.000010,702.33
f700,0.000180,0.000081,588.00
f701,0.000217,0.000088,561.00
f702,0.001320,0.000307,174.67
f703,0.000115,0.000105,638.67
f704,0.001511,0.000607,174.67
f705,0.000350,0.000118,465.33
f706,0.000275,0.000152,527.33
f707,0.000279,0.000164,520.67
f708,0.001247,0.000311,188.67
f709,0.000128,0.000045,632.67
f710,0.000154,0.000072,614.67
f711,0.000549,0.000270,385.00
f712,0.000258,0.000133,532.67
f713,0.000134,0.000029,624.33
f714,0.000512,0.000509,464.33
f715,0.000336,0.000142,483.67
f716,0.000903,0.000557,298.00
f717,0.000443,0.000247,425.33
f718,0.000400,0.000019,431.67
